frame_number,x_offset,x_offset_meters
15169,15.0,0.0066
15187,-32.0,-0.014
15208,-94.0,-0.0412
15226,-71.0,-0.0311
15245,-48.0,-0.021
15286,105.0,0.046
15315,88.0,0.0386
15348,14.0,0.0061
15374,-38.0,-0.0166
15390,1.0,0.0004
15424,5.0,0.0022
15441,11.0,0.0048
15458,50.0,0.0219
15473,27.0,0.0118
15492,75.0,0.0329
15514,105.0,0.046
15537,94.0,0.0412
15558,98.0,0.0429
15573,48.0,0.021
15588,76.0,0.0333
15604,76.0,0.0333
15637,147.0,0.0644
15659,133.0,0.0583
15679,108.0,0.0473
15707,84.0,0.0368
15731,52.0,0.0228
15763,115.0,0.0504
15781,99.0,0.0434
15799,120.0,0.0526
15814,104.0,0.0456
15829,76.0,0.0333
15851,122.0,0.0535
15874,164.0,0.0719
15915,88.0,0.0386
15932,64.0,0.028
15947,41.0,0.018
15964,56.0,0.0245
15981,36.0,0.0158
16005,70.0,0.0307
16013,92.0,0.0403
16030,105.0,0.046
16056,134.0,0.0587
16082,105.0,0.046
16097,61.0,0.0267
16129,75.0,0.0329
16145,86.0,0.0377
16176,118.0,0.0517
16213,72.0,0.0315
16236,93.0,0.0407
16260,118.0,0.0517
16277,84.0,0.0368
16306,47.0,0.0206
16327,105.0,0.046
16354,98.0,0.0429
16369,130.0,0.057
16394,112.0,0.0491
16413,94.0,0.0412
16429,100.0,0.0438
16449,115.0,0.0504
16472,130.0,0.057
16493,113.0,0.0495
16517,87.0,0.0381
16534,56.0,0.0245
16549,12.0,0.0053
16574,8.0,0.0035
16596,44.0,0.0193
16626,175.0,0.0767
16645,202.0,0.0885
16665,188.0,0.0824
16688,99.0,0.0434
16720,86.0,0.0377
16743,62.0,0.0272
16758,90.0,0.0394
16773,120.0,0.0526
16790,120.0,0.0526
16817,133.0,0.0583
16835,97.0,0.0425
16859,80.0,0.0351
16878,56.0,0.0245
16895,57.0,0.025
16923,83.0,0.0364
16941,86.0,0.0377
16961,141.0,0.0618
16982,102.0,0.0447
16998,88.0,0.0386
17025,55.0,0.0241
17041,-20.0,-0.0088
17073,-124.0,-0.0543
17088,-157.0,-0.0688
17103,-128.0,-0.0561
17121,-69.0,-0.0302
17137,-48.0,-0.021
17163,18.0,0.0079
17178,-8.0,-0.0035
17193,-56.0,-0.0245
17212,-102.0,-0.0447
17229,-124.0,-0.0543
17248,-96.0,-0.0421
17264,-48.0,-0.021
17281,-44.0,-0.0193
17298,27.0,0.0118
17313,22.0,0.0096
17341,7.0,0.0031
17362,-46.0,-0.0202
17378,-117.0,-0.0513
17404,-153.0,-0.067
17419,-149.0,-0.0653
17439,-128.0,-0.0561
17460,-16.0,-0.007
17476,22.0,0.0096
17492,69.0,0.0302
17523,69.0,0.0302
17553,33.0,0.0145
17579,9.0,0.0039
17598,25.0,0.011
17628,72.0,0.0315
17643,78.0,0.0342
17658,119.0,0.0521
17673,225.0,0.0986
17688,232.0,0.1016
17709,159.0,0.0697
17736,123.0,0.0539
17773,64.0,0.028
17791,48.0,0.021
17815,156.0,0.0683
17831,157.0,0.0688
17866,186.0,0.0815
17895,88.0,0.0386
17913,27.0,0.0118
17928,28.0,0.0123
17958,23.0,0.0101
17973,41.0,0.018
17988,147.0,0.0644
18003,157.0,0.0688
18018,147.0,0.0644
18033,219.0,0.096
18054,154.0,0.0675
18078,76.0,0.0333
18093,62.0,0.0272
18128,115.0,0.0504
18150,108.0,0.0473
18165,128.0,0.0561
18182,154.0,0.0675
18213,126.0,0.0552
18228,87.0,0.0381
18252,44.0,0.0193
18273,-63.0,-0.0276
18306,-41.0,-0.018
18322,-38.0,-0.0166
18347,35.0,0.0153
18362,68.0,0.0298
18377,86.0,0.0377
18392,76.0,0.0333
18407,66.0,0.0289
18428,-8.0,-0.0035
18446,-27.0,-0.0118
18480,-59.0,-0.0258
18512,-13.0,-0.0057
18539,19.0,0.0083
18557,29.0,0.0127
18593,-50.0,-0.0219
18608,-89.0,-0.039
18623,-142.0,-0.0622
18641,-186.0,-0.0815
18662,-181.0,-0.0793
18677,-84.0,-0.0368
18694,-69.0,-0.0302
18709,-38.0,-0.0166
18734,-55.0,-0.0241
18749,-69.0,-0.0302
18764,-158.0,-0.0692
18792,-207.0,-0.0907
18807,-222.0,-0.0973
18840,571.0,0.2502
18856,-203.0,-0.0889
18872,-130.0,-0.057
18887,-30.0,-0.0131
18913,33.0,0.0145
18932,-38.0,-0.0166
18947,-67.0,-0.0294
18975,-120.0,-0.0526
18996,-39.0,-0.0171
19020,54.0,0.0237
19031,65.0,0.0285
19046,114.0,0.0499
19067,73.0,0.032
19093,-27.0,-0.0118
19124,-51.0,-0.0223
19150,-42.0,-0.0184
19181,79.0,0.0346
19211,159.0,0.0697
19241,148.0,0.0648
19256,101.0,0.0443
19271,98.0,0.0429
19298,36.0,0.0158
19321,64.0,0.028
19337,68.0,0.0298
19352,76.0,0.0333
19391,130.0,0.057
19415,90.0,0.0394
19444,45.0,0.0197
19472,14.0,0.0061
19496,8.0,0.0035
19514,-13.0,-0.0057
19546,16.0,0.007
19562,88.0,0.0386
19577,94.0,0.0412
19592,79.0,0.0346
19622,34.0,0.0149
19637,-15.0,-0.0066
19652,-55.0,-0.0241
19667,-117.0,-0.0513
19682,-152.0,-0.0666
19697,-184.0,-0.0806
19712,-134.0,-0.0587
19741,-102.0,-0.0447
19772,41.0,0.018
19787,55.0,0.0241
19802,54.0,0.0237
19817,0.0,0.0
19832,12.0,0.0053
19847,-29.0,-0.0127
19862,-44.0,-0.0193
19877,-27.0,-0.0118
19892,-20.0,-0.0088
19907,18.0,0.0079
19922,37.0,0.0162
19937,55.0,0.0241
19952,66.0,0.0289
19967,50.0,0.0219
19997,-26.0,-0.0114
20012,7.0,0.0031
20027,-31.0,-0.0136
20042,-14.0,-0.0061
20065,7.0,0.0031
20107,33.0,0.0145
20122,13.0,0.0057
20143,-1.0,-0.0004
20161,-72.0,-0.0315
20176,-165.0,-0.0723
20191,-131.0,-0.0574
20213,-78.0,-0.0342
20221,-15.0,-0.0066
20236,45.0,0.0197
20273,97.0,0.0425
20292,47.0,0.0206
20309,29.0,0.0127
20328,-8.0,-0.0035
20356,-34.0,-0.0149
20386,-8.0,-0.0035
20401,19.0,0.0083
20450,111.0,0.0486
20474,112.0,0.0491
20489,70.0,0.0307
20506,42.0,0.0184
20521,18.0,0.0079
20536,-29.0,-0.0127
20551,-98.0,-0.0429
20566,-72.0,-0.0315
20596,19.0,0.0083
20611,42.0,0.0184
20626,77.0,0.0337
20641,93.0,0.0407
20656,168.0,0.0736
20671,113.0,0.0495
20686,61.0,0.0267
20701,44.0,0.0193
20727,27.0,0.0118
20731,-3.0,-0.0013
20746,22.0,0.0096
